pn;nInstances;nResources;time;nRuns;median;std;bestgap;initialgap
a29g9AND;20;3;45;9;626.0;36.2008;-6.35;-10.93
a29g9AND;20;3;60;9;626.0;35.9583;-5.23;-10.32
a29g9AND;20;3;90;9;621.0;28.9180;-4.61;-11.22
a29g9AND;20;3;180;9;585.0;33.9022;-11.22;-14.69
a29g9AND;20;5;45;9;344.0;41.7745;-25.93;-25.87
a29g9AND;20;5;60;9;333.0;47.2679;-17.63;-17.85
a29g9AND;20;5;90;9;321.0;40.8412;-16.22;-16.55
a29g9AND;20;5;180;9;313.0;22.8133;-32.81;-20.79
a29g9AND;20;7;45;9;312.0;8.4278;-15.61;-8.09
a29g9AND;20;7;60;9;300.0;4.6904;-33.13;-10.03
a29g9AND;20;7;90;9;293.0;6.4248;-34.54;-11.00
a29g9AND;20;7;180;9;293.0;0.0000;-30.07;-12.33
a29g9AND;20;12;45;9;223.0;11.2002;-49.95;-49.62
a29g9AND;20;12;60;9;223.0;0.0000;-49.30;-49.32
a29g9AND;20;12;90;9;223.0;0.0000;-41.47;-41.78
a29g9AND;20;12;180;9;223.0;0.0000;-39.79;-39.76
a29g9AND;25;3;45;9;796.0;24.5736;-13.62;-17.18
a29g9AND;25;3;60;9;796.0;18.3167;-17.74;-11.34
a29g9AND;25;3;90;9;792.0;36.1009;-4.05;-9.15
a29g9AND;25;3;180;9;778.0;24.4699;-18.15;-4.64
a29g9AND;25;5;45;9;471.0;27.3176;-24.37;-24.68
a29g9AND;25;5;60;9;460.0;36.6723;-22.91;-22.88
a29g9AND;25;5;90;9;427.0;43.7648;-25.08;-24.69
a29g9AND;25;5;180;9;395.0;38.0559;-29.56;-29.47
a29g9AND;25;7;45;9;407.0;20.3715;-36.38;-36.79
a29g9AND;25;7;60;9;395.0;14.5258;-38.55;-38.71
a29g9AND;25;7;90;9;368.0;19.2159;-34.05;-42.62
a29g9AND;25;7;180;7;358.0;0.3780;-25.90;-28.99
a29g9AND;25;12;45;6;306.0;14.2232;1.02;1.02
a29g9AND;25;12;60;6;272.0;7.8422;-3.87;-3.53
a29g9AND;25;12;90;6;268.0;0.0000;-4.46;-3.42
a29g9AND;25;12;180;6;268.0;0.0000;-3.94;-2.19
a35g6;10;3;45;12;339.5;9.2474;3.52;-3.20
a35g6;10;3;60;12;341.0;10.5955;2.32;-2.52
a35g6;10;3;90;12;341.0;6.6395;2.96;-3.37
a35g6;10;3;180;12;340.5;6.9978;3.14;-3.48
a35g6;10;5;45;10;208.0;8.0719;5.06;13.60
a35g6;10;5;60;10;207.0;8.0305;1.52;11.37
a35g6;10;5;90;9;204.0;9.9875;1.86;10.87
a35g6;10;5;180;8;193.5;3.8079;3.34;6.47
a35g6;10;7;45;8;165.0;6.9437;0.45;-2.74
a35g6;10;7;60;8;165.0;6.9437;2.58;0.75
a35g6;10;7;90;8;164.5;6.3415;1.05;-0.74
a35g6;10;7;180;8;163.5;2.9001;0.84;0.23
a35g6;10;12;45;8;149.5;22.7455;-0.46;-32.11
a35g6;10;12;60;8;150.5;9.4103;-0.72;-35.41
a35g6;10;12;90;8;150.0;2.4165;-3.43;-36.77
a35g6;10;12;180;8;149.0;0.5175;-3.63;-37.50
